Concurrency,QPS,P50,P99
1,630.08,1.6,2.0
2,1073.98,1.8,2.8
3,1578.66,1.9,2.6
4,1928.20,2.1,2.6
5,1977.77,2.5,3.8
6,1963.53,3.0,4.3
7,2009.46,3.6,4.8
8,1976.00,4.1,5.9
9,1996.70,4.6,6.6
10,1989.77,5.2,7.5
11,1977.27,5.8,8.1
12,2003.02,6.1,9.1
13,2002.21,6.6,10.0
14,1992.96,7.2,10.8
15,2023.79,7.6,11.4
16,1985.69,8.3,12.5
17,1974.90,8.8,13.4
18,1995.73,9.2,14.1
19,1991.63,9.7,15.2
20,1973.22,10.3,16.2
21,1964.85,10.9,16.9
22,1939.05,11.6,17.8
23,1915.14,12.2,18.9
24,1965.81,12.5,19.5
25,1982.92,12.8,20.2
26,1952.85,13.6,21.2
27,1979.69,13.9,22.0
28,1940.46,14.6,23.1
29,1925.60,15.3,24.2
30,1901.08,16.0,25.3
31,1930.85,16.2,25.9
32,1891.06,17.1,27.3
33,1945.80,17.2,27.4
34,1961.61,17.5,28.1
35,1975.23,17.9,28.8
36,1925.62,18.8,30.3
37,1946.42,19.2,30.8
38,1983.10,19.3,31.4
39,1946.93,20.2,32.4
40,1966.94,20.6,32.8
41,1973.78,21.0,33.7
42,1932.19,22.0,35.1
