P50
6.4
5.6
5.2
5.0
5.7
6.4
7.2
8.1
9.1
10.1
10.7
11.4
12.0
13.0
13.8
14.6
15.3
15.9
16.8
17.5
18.2
19.0
20.0
21.1
21.6
22.3
23.0
23.9
25.0
25.9
26.7
27.5
28.7
30.0
30.1
30.8
31.9
32.6
34.2
35.0
35.6
37.0
