P50
5.0
4.2
4.2
4.1
4.1
4.4
4.7
5.0
5.5
6.0
6.5
7.0
7.5
8.1
8.7
9.2
9.9
10.5
11.1
11.4
12.1
12.6
13.0
13.5
14.1
14.7
15.0
15.8
15.9
16.0
17.3
17.3
18.5
18.3
19.9
20.1
18.6
19.6
21.7
21.4
22.8
23.7
