Concurrency,QPS,P50,P99
1,645.12,1.6,2.0
2,1120.78,1.8,2.6
3,1473.19,2.0,3.3
4,1657.20,2.4,4.2
5,1730.12,2.7,5.0
6,1587.47,3.6,6.7
7,1741.24,3.9,7.4
8,1710.72,4.5,8.4
9,1798.66,4.9,9.3
10,1864.98,5.2,9.9
11,1886.69,5.7,10.6
12,1848.06,6.4,11.2
13,1830.51,7.0,12.0
14,1880.97,7.3,12.2
15,1863.95,8.0,13.0
16,1899.56,8.3,13.3
17,1801.29,9.3,14.7
18,1843.84,9.7,14.7
19,1829.56,10.3,15.6
20,1834.89,10.8,15.9
21,1831.99,11.4,16.6
22,1873.14,11.6,16.9
23,1895.67,12.0,17.1
24,1879.47,12.7,18.0
25,1904.76,13.0,18.2
26,1834.83,14.1,19.3
27,1823.88,14.7,19.7
28,1853.44,15.0,20.1
29,1853.72,15.6,20.7
30,1898.13,15.7,20.9
31,1811.39,17.0,22.3
32,1721.97,18.5,23.8
33,1786.18,18.3,23.9
34,1801.81,18.8,24.0
35,1664.72,20.9,26.1
36,1663.23,21.5,27.0
37,1623.23,22.7,27.9
38,1683.02,22.5,27.7
39,1494.17,26.3,32.1
40,1708.62,23.1,29.2
41,1852.14,22.0,27.5
42,1763.75,23.7,28.9
