Concurrency,QPS,P50,P99
1,468.28,2.2,2.8
2,769.07,2.7,3.5
3,1273.03,2.3,3.5
4,1515.22,2.6,4.5
5,1592.98,3.0,6.2
6,1730.76,3.2,7.8
7,1805.58,3.7,7.8
8,1735.75,4.5,8.4
9,1749.29,5.0,9.2
10,1823.28,5.3,9.7
11,1851.14,5.7,10.1
12,1860.13,6.2,10.8
13,1804.40,7.0,11.6
14,1815.81,7.5,12.2
15,1850.97,7.9,12.5
16,1866.09,8.3,13.0
17,1861.13,8.9,13.5
18,1812.91,9.7,14.4
19,1796.77,10.4,15.0
20,1827.60,10.8,15.5
21,1869.97,11.1,15.6
22,1859.88,11.7,16.4
23,1808.32,12.6,17.2
24,1808.84,13.1,17.9
25,1843.82,13.4,18.1
26,1855.78,13.8,18.6
27,1852.43,14.4,19.1
28,1801.85,15.3,20.1
29,1796.67,16.0,20.7
30,1829.31,16.3,20.9
31,1863.24,16.5,21.2
32,1856.32,17.1,21.9
33,1808.67,18.1,22.9
34,1791.94,18.8,23.5
35,1854.35,18.7,23.6
36,1857.88,19.2,23.9
37,1860.09,19.7,24.4
38,1791.36,21.1,25.8
39,1784.54,21.7,26.6
40,1843.53,21.5,26.3
41,1849.96,22.0,26.8
42,1856.78,22.5,27.3
