P50
47.8
47.2
46.9
47.0
46.7
46.7
47.1
46.9
46.4
46.5
46.6
46.8
46.5
46.3
46.3
46.4
46.6
46.5
46.4
46.3
46.5
46.8
46.6
46.6
46.7
46.9
47.1
47.0
47.2
47.4
47.7
47.9
48.1
48.4
48.5
49.0
49.4
49.5
49.7
50.0
50.6
50.8
