Concurrency,QPS,P50,P99
1,543.68,1.9,2.4
2,829.06,2.5,3.2
3,1390.79,2.1,3.1
4,1645.66,2.4,4.1
5,1742.65,2.7,5.7
6,1857.17,3.0,7.4
7,1902.52,3.5,7.6
8,1875.33,4.2,8.0
9,1883.70,4.6,8.7
10,1924.18,5.0,9.3
11,1955.27,5.4,9.7
12,1960.06,5.9,10.3
13,1962.01,6.4,10.9
14,1956.02,6.9,11.5
15,1955.76,7.4,12.1
16,1956.68,7.9,12.6
17,1948.27,8.5,13.1
18,1949.86,9.0,13.6
19,1951.50,9.5,14.1
20,1949.38,10.1,14.7
21,1955.61,10.6,15.2
22,1959.00,11.1,15.6
23,1952.07,11.6,16.2
24,1960.96,12.1,16.6
25,1937.90,12.7,17.3
26,1943.67,13.2,17.8
27,1945.91,13.7,18.2
28,1951.59,14.2,18.8
29,1948.14,14.7,19.4
30,1922.32,15.4,20.0
31,1958.24,15.7,20.1
32,1948.74,16.3,20.8
33,1946.15,16.8,21.4
34,1962.97,17.2,21.7
35,1938.25,17.9,22.4
36,1948.61,18.3,22.9
37,1947.27,18.8,23.5
38,1944.10,19.4,24.1
39,1940.93,19.9,24.8
40,1939.47,20.4,25.1
41,1952.11,20.8,25.4
42,1945.66,21.4,26.3
