Concurrency,QPS,P50,P99
1,90.82,10.6,19.9
2,184.28,10.4,20.7
3,283.57,10.2,20.4
6,592.17,9.7,19.5
9,902.88,9.6,18.8
12,1194.45,9.8,19.0
15,1495.59,9.7,18.9
18,1804.43,9.6,18.8
21,2085.52,9.8,19.0
24,2390.69,9.7,19.0
27,2680.52,9.7,19.1
30,2943.20,9.8,19.4
33,3247.95,9.8,19.3
36,3543.71,9.8,19.2
39,3832.37,9.8,19.3
42,4093.70,9.9,19.5
45,4347.91,10.0,19.9
48,4653.45,9.9,19.8
51,4952.27,9.9,19.7
54,5217.68,10.0,19.9
57,5445.18,10.1,20.1
60,5663.77,10.2,20.4
63,5959.51,10.2,20.3
66,6249.80,10.2,20.4
69,6490.35,10.2,20.6
72,6653.35,10.4,21.1
75,6807.61,10.5,21.8
78,7081.08,10.6,21.8
81,7263.16,10.7,22.2
84,7473.04,10.8,22.5
87,7559.40,11.0,23.4
90,7650.64,11.2,24.1
93,7912.81,11.2,24.1
96,8117.72,11.3,24.4
99,8290.62,11.4,24.5
102,8356.65,11.6,25.1
105,8411.59,11.9,26.0
108,8598.88,12.0,26.1
111,8810.34,12.0,26.0
114,8977.54,12.1,26.1
117,9009.62,12.4,26.8
120,9144.08,12.5,27.0
123,9329.44,12.6,26.9
126,9457.74,12.7,27.2
129,9593.57,12.8,27.5
132,9530.17,13.1,28.8
135,9593.44,13.4,29.2
138,9758.68,13.4,28.8
141,9977.09,13.5,28.8
144,10091.61,13.6,28.9
147,9963.33,14.0,30.6
150,10204.50,14.0,30.2
153,10299.38,14.2,30.3
156,10608.46,14.1,29.6
159,10611.08,14.3,30.3
162,10354.12,14.9,32.1
165,10323.54,15.1,33.5
168,10464.42,15.3,33.4
171,10741.31,15.2,32.7
174,10604.55,15.3,37.2
177,10705.41,15.7,34.1
180,10618.71,16.0,35.8
183,10774.40,16.1,35.6
186,11060.38,16.0,34.3
189,11166.74,16.2,34.5
192,10668.37,16.7,41.0
195,10612.76,17.0,41.9
198,10906.99,17.1,39.4
201,11186.57,17.1,37.3
204,11230.17,17.4,37.6
207,10865.89,17.8,42.2
210,11027.66,17.8,42.1
213,11152.79,18.0,41.5
216,11500.06,18.0,38.7
219,11579.61,18.1,38.7
222,10862.14,18.6,46.7
225,10861.35,18.8,48.5
228,11241.83,18.9,45.2
231,11466.00,19.1,43.3
234,11711.84,19.2,40.6
237,11345.64,19.5,45.9
240,11114.10,19.3,49.4
243,11306.78,19.7,48.5
246,11656.43,20.0,45.1
249,11597.21,20.5,44.9
252,10971.07,19.7,53.6
255,10939.06,19.4,55.4
258,11373.04,20.2,52.0
261,11665.93,20.8,48.5
264,11579.76,21.1,50.3
267,10711.65,18.4,61.7
270,10899.83,19.2,61.3
273,11032.02,19.9,59.5
276,11475.74,22.5,51.9
279,11364.56,22.8,52.7
282,10848.50,19.9,62.6
285,10922.38,19.6,63.2
288,11262.19,21.5,59.4
291,11610.14,23.1,54.1
294,11597.28,23.4,55.0
297,10849.74,20.2,67.2
300,11164.76,21.0,65.1
303,11213.10,21.2,63.9
306,11615.12,23.5,59.7
309,11532.80,22.6,62.0
312,11104.17,21.8,66.7
315,11338.13,21.2,66.4
318,11591.58,20.8,65.6
321,12020.44,25.0,56.6
324,11859.77,24.6,58.5
327,11192.80,21.4,70.6
330,11421.76,22.9,71.1
333,11805.92,25.9,62.0
336,11899.42,25.5,62.2
339,11547.69,23.3,71.6
342,10855.24,18.9,80.9
345,10895.13,19.3,81.1
348,11338.99,23.1,73.6
351,11658.95,23.3,71.6
354,11421.80,21.0,78.0
357,10705.28,19.0,86.6
360,10946.43,19.6,84.4
363,11301.42,21.8,79.8
366,11538.23,26.2,73.2
369,11241.89,22.1,84.0
372,10767.25,19.5,90.0
375,11162.14,20.9,85.0
378,11471.62,25.7,80.4
381,11614.05,25.5,77.6
384,11160.15,21.9,90.1
387,10682.27,19.6,94.7
390,10958.73,19.8,92.4
393,11709.86,23.6,82.2
396,11673.99,24.6,81.8
399,11349.69,23.5,90.6
402,10785.85,19.4,97.5
405,10962.73,19.6,95.7
408,11662.05,27.6,84.2
411,11652.56,24.3,85.8
414,11093.03,21.1,99.3
417,10652.59,19.1,
420,10954.11,20.6,99.8
423,11482.29,24.4,90.4
426,11625.18,22.8,91.6
429,11006.91,20.8,
432,10561.83,18.7,
435,10965.27,20.3,
438,11464.27,21.8,97.2
441,11606.49,25.2,94.2
444,10943.90,20.3,
447,10764.55,19.6,
450,11060.06,20.7,
453,11366.59,28.5,97.8
456,11772.19,33.1,89.4
459,11009.58,22.5,
462,11092.79,21.7,
465,11066.91,20.7,
468,11695.27,35.1,98.1
471,11716.18,34.3,91.8
474,10959.13,20.8,
477,10901.90,20.5,
480,10917.79,20.4,
