QPS
266.73
543.40
816.68
1576.21
2329.54
2978.68
3553.92
3952.82
4138.74
4384.02
4544.08
4641.11
4690.01
4634.88
4701.44
4783.97
4799.20
4806.66
4716.53
4788.51
4766.69
4857.81
4836.16
4680.28
4826.08
4854.21
4889.26
4898.15
4785.29
4778.40
4889.16
4890.18
4765.82
4764.76
4782.47
4895.42
4892.67
4851.28
4715.69
4850.95
4897.14
4882.58
