P50
2.6
2.5
2.5
2.7
2.9
3.1
3.4
3.8
4.3
4.9
5.4
5.8
5.9
6.3
6.8
6.9
6.1
6.3
6.1
6.4
6.2
6.4
7.0
6.1
6.0
6.3
6.4
7.0
6.2
6.8
6.4
6.4
6.4
6.4
6.6
6.9
6.7
6.7
6.3
6.6
6.7
6.6
