P50
4.2
4.0
4.0
4.0
4.1
4.3
4.6
4.9
5.3
5.7
6.2
6.6
7.2
7.8
8.3
9.0
9.4
9.9
10.5
11.1
11.5
11.9
12.1
13.0
13.7
14.3
14.7
15.8
15.5
16.7
18.0
17.4
17.8
16.4
18.1
18.2
18.5
19.6
20.7
22.0
23.0
19.9
