Concurrency,QPS,P50,P99
1,504.78,2.0,2.4
2,986.77,2.0,2.9
3,1366.20,2.2,3.4
4,1668.60,2.4,4.0
5,1768.14,2.7,4.8
6,1836.61,3.1,5.6
7,1888.93,3.6,6.6
8,1921.64,4.0,7.5
9,1939.52,4.5,8.4
10,1953.65,5.0,9.3
11,1938.72,5.6,10.3
12,1949.51,6.1,10.8
13,1953.18,6.5,11.4
14,1970.55,7.0,11.9
15,1955.24,7.6,12.3
16,1963.33,8.1,13.0
17,1972.73,8.5,13.7
18,1959.53,9.1,14.0
19,1950.27,9.6,14.7
20,1950.48,10.2,15.0
21,1962.83,10.6,15.7
22,1957.66,11.1,16.1
23,1953.17,11.7,16.7
24,1939.03,12.3,17.2
25,1951.18,12.7,17.7
26,1961.46,13.2,18.0
27,1961.78,13.7,18.7
28,1948.52,14.3,19.2
29,1948.13,14.8,19.8
30,1958.59,15.2,20.0
31,1956.92,15.8,20.8
32,1962.45,16.2,21.4
33,1956.72,16.8,21.8
34,1954.36,17.3,22.2
35,1961.42,17.8,22.7
36,1959.50,18.3,23.3
37,1952.18,18.9,23.9
38,1966.20,19.2,24.3
39,1954.39,19.9,24.8
40,1961.50,20.3,25.1
41,1959.79,20.8,25.8
42,1961.25,21.3,26.5
