P99
3.2
3.8
3.7
4.7
5.3
5.9
6.7
7.4
8.3
9.6
11.0
12.9
14.6
16.0
18.2
19.9
22.4
23.8
25.8
27.8
29.7
31.5
33.1
35.4
37.4
39.1
41.5
43.2
45.2
47.1
49.2
51.4
52.8
54.7
57.0
59.5
61.0
62.8
63.8
66.1
67.7
70.5
