Concurrency,QPS,P50,P99
1,384.18,2.6,3.1
2,728.28,2.7,3.9
3,1155.71,2.6,3.8
4,1365.83,2.9,4.8
5,1436.98,3.3,5.9
6,1527.72,3.8,6.6
7,1588.89,4.2,7.2
8,1602.31,4.9,8.5
9,1604.26,5.4,9.3
10,1651.43,5.9,9.9
11,1673.18,6.4,10.3
12,1680.60,7.0,10.9
13,1680.66,7.6,11.5
14,1648.27,8.5,12.4
15,1667.88,9.0,12.7
16,1656.92,9.7,13.6
17,1683.36,10.1,13.8
18,1676.13,10.7,14.5
19,1649.91,11.5,15.3
20,1665.59,12.0,15.9
21,1668.00,12.5,16.5
22,1682.27,13.0,17.0
23,1672.17,13.7,17.6
24,1638.39,14.6,18.6
25,1655.25,15.0,19.0
26,1661.44,15.6,19.7
27,1664.86,16.1,20.1
28,1653.67,16.9,20.9
29,1641.85,17.6,21.9
30,1655.55,18.1,22.1
31,1660.08,18.6,22.7
32,1655.01,19.3,23.4
33,1645.10,20.0,24.0
34,1646.61,20.6,24.6
35,1671.86,20.9,24.9
36,1672.87,21.5,25.4
37,1686.56,21.9,25.8
38,1659.91,22.8,26.9
39,1649.80,23.6,27.7
40,1670.17,23.9,27.9
41,1672.70,24.5,28.5
42,1667.21,25.1,29.3
