P99
7.9
8.1
7.2
7.1
8.1
9.3
10.7
12.4
14.4
16.5
17.7
17.7
18.8
21.2
23.2
25.4
25.4
26.5
28.2
30.3
31.8
35.7
35.8
39.4
38.7
39.3
41.4
42.7
46.2
46.5
47.5
49.2
50.1
52.3
52.6
52.6
53.3
54.3
56.1
56.8
59.1
60.0
