P99
3.1
4.0
3.8
4.7
5.4
6.3
7.6
8.8
9.8
10.2
11.0
11.5
12.2
12.7
13.9
15.3
16.1
16.9
18.6
20.8
23.1
24.6
26.3
28.3
30.7
32.3
33.7
35.5
37.0
39.5
41.2
43.1
44.6
46.6
48.9
49.1
52.2
53.8
55.9
57.4
59.6
60.7
