P99
7.3
6.4
5.9
6.0
6.8
7.8
9.0
9.9
11.4
12.4
13.3
14.4
15.3
16.3
16.8
18.2
18.5
20.2
21.2
22.8
24.0
24.7
27.1
29.1
28.9
31.0
32.3
32.6
37.9
38.0
37.9
42.5
37.9
42.9
44.5
44.7
50.1
50.2
50.0
54.0
53.0
57.5
