P99
4.5
4.8
4.9
5.3
5.6
6.0
6.7
7.9
9.8
11.1
12.8
14.6
15.8
17.9
20.0
21.2
23.2
25.1
27.4
29.4
30.5
31.0
34.9
37.7
37.1
40.0
40.7
39.8
44.9
46.5
46.9
46.6
55.5
49.4
57.3
55.9
58.9
61.4
66.3
60.8
57.7
65.8
