Concurrency,QPS,P50,P99
1,249.24,4.0,4.8
2,523.32,3.8,4.8
3,800.86,3.8,4.9
6,1616.61,3.7,4.8
9,2450.58,3.7,4.8
12,3275.94,3.6,5.1
15,4180.60,3.6,4.9
18,5005.16,3.6,5.0
21,5873.27,3.5,4.9
24,6683.88,3.6,4.9
27,7435.64,3.6,5.1
30,8216.15,3.6,5.1
33,8864.62,3.7,5.3
36,9525.62,3.7,5.6
39,10223.42,3.8,5.5
42,10833.77,3.8,5.6
45,11511.01,3.9,5.6
48,12061.79,3.9,5.8
51,12662.26,4.0,6.0
54,13308.29,4.0,5.9
57,13790.37,4.1,6.0
60,14270.82,4.1,6.3
63,14828.16,4.2,6.3
66,15279.73,4.2,6.5
69,15858.01,4.3,6.5
72,16436.00,4.3,6.5
75,16900.12,4.4,6.6
78,17316.17,4.4,6.7
81,17725.43,4.4,6.9
84,18214.38,4.5,7.0
87,18656.46,4.6,7.1
90,19066.54,4.6,7.2
93,19495.50,4.7,7.3
96,19916.41,4.7,7.4
99,20307.88,4.8,7.5
102,20690.84,4.8,7.6
105,21027.88,4.9,7.7
108,21335.03,5.0,7.8
111,21737.26,5.0,7.9
114,21475.30,5.1,9.4
117,22419.45,5.1,8.2
120,22767.35,5.1,8.4
123,23045.35,5.2,8.6
126,23407.86,5.2,8.6
129,23780.34,5.3,8.7
132,24029.93,5.3,8.9
135,24226.69,5.4,9.1
138,24313.38,5.5,9.5
141,24568.72,5.6,9.6
144,24801.59,5.6,9.8
147,25072.26,5.7,9.9
150,25336.00,5.7,10.1
153,25478.32,5.8,10.3
156,25604.48,5.9,10.6
159,26203.37,5.8,10.5
162,26320.72,5.9,10.9
165,26531.23,6.0,11.0
168,26561.61,6.0,11.4
171,26741.87,6.1,12.0
174,26935.93,6.2,12.0
177,27046.53,6.2,12.4
180,27226.59,6.3,12.7
183,27104.99,6.4,13.2
186,27273.02,6.4,13.5
189,27302.14,6.5,14.2
192,27348.66,6.6,15.3
195,27358.46,6.7,15.4
198,27179.06,6.7,16.3
201,27581.06,6.8,16.2
204,27245.55,6.9,17.5
207,27465.87,7.0,17.9
210,27136.92,7.0,20.2
213,27684.97,7.1,18.2
216,27251.32,7.2,20.3
219,27287.09,7.3,22.2
222,27195.14,7.4,23.0
225,26804.33,7.5,26.0
228,27270.85,7.6,23.0
231,26698.50,7.7,30.7
234,26754.87,7.6,32.5
237,26698.93,7.7,34.4
240,26838.01,7.8,35.3
243,27179.43,7.9,30.1
246,26655.94,7.9,38.9
249,26880.28,8.0,37.3
252,27051.43,8.2,35.5
255,26604.34,8.1,41.1
258,26906.75,8.1,42.9
261,26882.47,8.4,39.3
264,26633.73,8.3,44.5
267,26400.04,8.3,48.7
270,26496.43,8.3,49.2
273,26611.58,8.6,45.9
276,26502.86,8.4,50.8
279,26489.66,8.6,48.9
282,26885.42,8.6,47.7
285,26512.79,8.8,50.9
288,26940.18,8.9,47.2
291,26167.07,9.1,50.6
294,26369.33,9.0,53.3
297,26321.95,8.8,58.0
300,25679.86,9.2,54.2
303,26643.63,9.4,48.1
306,26049.25,9.5,57.0
309,26305.32,9.3,55.6
312,26212.75,9.4,52.5
315,25897.25,8.8,67.7
318,25798.65,8.9,60.9
321,25320.43,9.8,63.0
324,25693.49,8.7,73.2
327,25997.83,9.5,67.4
330,24978.24,9.0,77.6
333,25536.48,10.1,57.4
336,26365.01,9.8,58.2
339,26924.49,9.6,67.5
342,25231.77,9.2,81.2
345,25556.88,9.6,77.5
348,25068.40,10.4,62.4
351,26587.23,10.1,59.1
354,25863.65,10.0,73.5
357,25471.56,10.1,78.0
360,25028.98,8.9,95.0
363,26057.57,10.8,61.7
366,25095.51,9.7,82.7
369,24902.98,8.7,89.2
372,25346.11,10.6,69.7
375,25263.53,11.2,67.5
378,25667.05,10.5,79.6
381,25752.84,10.3,79.5
384,23794.53,8.3,
387,24862.97,10.7,86.9
390,24939.85,10.4,88.7
393,26163.79,9.9,91.1
396,24740.04,8.8,
399,25841.35,11.9,66.6
402,25509.32,11.7,74.3
405,25121.46,10.8,83.7
408,24589.82,8.7,
411,25220.98,11.5,83.3
414,25527.51,10.9,
417,24638.31,8.8,
420,24585.17,8.7,
423,24825.32,10.8,83.5
426,24301.17,9.4,
429,24350.98,9.4,
432,25797.27,12.2,78.5
435,25761.84,10.5,
438,24776.02,10.2,
441,24403.13,9.0,
444,24953.57,11.3,83.7
447,25355.32,12.7,86.0
450,25097.35,9.9,
453,25274.50,12.7,82.5
456,27121.46,12.6,79.8
459,24866.79,9.8,
462,24610.62,10.3,
465,25332.38,12.0,94.9
468,25630.54,12.8,87.8
471,25011.59,9.9,
474,24996.80,9.3,
477,25768.37,11.1,
480,24850.04,10.9,
