P50
2.3
2.2
2.3
2.5
2.6
2.7
3.0
3.5
4.0
4.4
4.6
4.9
4.8
5.5
5.4
5.0
4.9
4.9
4.9
4.8
4.8
5.1
4.8
5.3
4.8
5.1
5.1
4.9
4.8
4.9
5.1
4.7
5.0
5.0
5.1
5.2
4.9
5.3
5.4
5.1
5.5
5.8
