P50
4.0
3.8
3.8
3.8
3.9
4.1
4.3
4.6
4.9
5.2
5.6
5.9
6.3
6.8
7.3
7.8
8.4
9.1
9.4
9.9
10.5
11.0
11.7
12.1
12.9
12.6
13.6
13.4
14.8
13.5
16.5
14.4
16.5
16.7
16.1
17.3
19.5
18.0
20.0
19.8
21.4
21.4
