QPS
237.98
493.71
743.96
1456.18
2122.37
2678.31
3130.73
3501.60
3805.28
4003.47
4156.87
4271.35
4352.29
4342.84
4434.40
4444.17
4508.40
4496.34
4499.08
4486.84
4498.65
4531.86
4489.52
4525.57
4561.04
4566.73
4543.85
4574.53
4561.87
4595.70
4578.68
4585.91
4570.03
4579.04
4605.81
4604.11
4601.67
4580.93
4583.10
4581.01
4586.40
4609.99
