Concurrency,QPS,P50,P99
1,477.17,2.1,2.7
2,809.50,2.4,3.5
3,1302.17,2.3,3.3
4,1566.82,2.5,4.2
5,1610.97,3.0,6.0
6,1690.11,3.3,7.9
7,1783.96,3.7,8.1
8,1772.93,4.4,8.3
9,1806.21,4.8,9.0
10,1787.11,5.4,9.8
11,1784.45,5.9,10.5
12,1814.90,6.4,10.9
13,1853.79,6.8,11.4
14,1858.70,7.3,11.9
15,1799.53,8.1,12.8
16,1809.86,8.6,13.4
17,1848.36,9.0,13.6
18,1860.38,9.5,14.1
19,1846.85,10.1,14.7
20,1794.70,11.0,15.6
21,1801.87,11.5,16.1
22,1836.31,11.8,16.4
23,1864.51,12.2,16.7
24,1839.76,12.9,17.5
25,1777.59,13.9,18.7
26,1803.88,14.2,19.0
27,1844.10,14.4,19.1
28,1856.84,14.9,19.5
29,1830.38,15.7,20.5
30,1801.92,16.5,21.2
31,1806.97,17.0,21.8
32,1840.28,17.2,21.8
33,1854.39,17.6,22.3
34,1841.24,18.3,23.0
35,1780.67,19.5,24.2
36,1794.27,19.9,24.8
37,1838.89,19.9,24.7
38,1854.22,20.3,25.2
39,1834.43,21.1,25.9
40,1798.97,22.1,26.9
41,1806.41,22.6,27.3
42,1833.78,22.7,27.5
