Concurrency,QPS,P50,P99
1,448.11,2.3,2.7
2,854.42,2.3,3.4
3,1313.67,2.2,3.3
6,2409.35,2.5,3.5
9,3478.51,2.6,3.7
12,4435.43,2.7,3.9
15,4802.16,3.1,4.9
18,4935.04,3.5,6.9
21,4943.08,4.0,8.5
24,4960.91,4.5,10.1
27,4942.39,5.0,12.1
30,4857.15,5.6,14.1
33,4867.71,6.0,16.6
36,4947.95,6.4,18.2
39,4945.49,6.4,21.3
42,4951.16,6.9,22.9
45,4868.58,7.3,26.6
48,4929.45,7.5,29.3
51,4950.54,8.1,30.7
54,4928.68,8.0,34.5
57,4933.05,9.4,35.5
60,4862.42,8.8,40.5
63,4930.80,8.7,42.1
66,4928.66,9.5,44.4
69,4938.42,10.7,44.5
72,4931.19,10.6,47.3
75,4862.90,11.4,49.8
78,4897.27,12.8,49.9
81,4904.93,11.6,56.7
84,4941.66,12.8,53.4
87,4929.81,13.9,55.5
90,4848.86,16.2,54.0
93,4906.64,14.2,59.4
96,4921.23,15.9,58.1
99,4936.70,16.5,58.6
102,4943.32,17.5,60.7
105,4849.94,17.5,62.3
108,4915.75,19.4,60.5
111,4916.80,18.0,68.8
114,4924.59,19.7,64.6
117,4899.02,20.8,66.7
120,4864.28,20.7,70.3
