P99
2.8
3.3
3.4
3.6
3.7
3.9
4.7
6.6
8.1
10.1
12.3
14.4
16.7
18.2
21.3
22.0
27.2
29.5
32.6
35.0
37.1
39.1
43.2
45.1
46.1
48.9
49.7
53.7
55.6
54.3
51.1
59.3
62.1
63.5
63.4
62.0
67.9
72.8
66.2
71.3
72.0
75.5
