P99
2.8
3.4
3.4
3.6
3.7
4.0
4.9
6.9
8.7
11.2
14.0
16.2
19.0
20.5
24.1
27.0
29.8
32.6
35.6
37.8
40.5
42.2
45.0
46.6
50.3
50.8
53.2
55.5
57.4
60.7
60.7
63.3
66.0
67.5
68.3
69.6
73.0
74.4
75.7
77.9
80.8
80.8
