Concurrency,QPS,P50,P99
1,624.27,1.6,2.0
2,1171.17,1.7,2.5
3,1530.73,2.0,2.7
4,1731.11,2.3,3.5
5,1789.54,2.8,4.0
6,1804.58,3.3,4.4
7,1794.10,3.9,5.0
8,1817.60,4.4,5.7
9,1795.04,5.0,6.3
10,1795.71,5.6,6.7
11,1815.83,6.0,7.4
12,1808.53,6.6,8.0
13,1818.45,7.1,8.5
14,1805.82,7.8,9.1
15,1816.90,8.2,9.7
16,1809.57,8.8,10.3
17,1831.99,9.3,10.7
18,1809.17,9.9,11.5
19,1798.72,10.6,12.2
20,1784.48,11.2,12.7
21,1794.44,11.7,13.4
22,1797.32,12.2,13.9
23,1810.41,12.7,14.4
24,1824.12,13.1,14.8
25,1811.68,13.8,15.4
26,1816.07,14.3,16.1
27,1805.09,14.9,16.6
28,1802.98,15.5,17.3
29,1824.97,15.9,17.9
30,1824.06,16.4,18.5
31,1803.36,17.2,19.1
32,1792.89,17.8,19.8
33,1802.05,18.3,20.3
34,1776.77,19.1,21.3
35,1812.33,19.3,21.3
36,1771.08,20.3,22.5
37,1711.68,21.4,25.6
38,1788.39,21.2,23.6
39,1768.71,22.0,24.5
40,1783.60,22.4,24.7
41,1759.42,23.2,25.8
42,1755.17,23.9,26.2
