Concurrency,QPS,P50,P99
1,237.98,4.2,5.0
2,493.71,4.0,5.2
3,743.96,4.0,5.4
6,1456.18,4.0,6.1
9,2122.37,4.1,6.8
12,2678.31,4.3,7.7
15,3130.73,4.6,8.6
18,3501.60,4.9,9.2
21,3805.28,5.3,10.3
24,4003.47,5.7,11.2
27,4156.87,6.2,12.4
30,4271.35,6.6,13.5
33,4352.29,7.2,14.7
36,4342.84,7.8,16.6
39,4434.40,8.3,17.8
42,4444.17,9.0,19.3
45,4508.40,9.4,20.8
48,4496.34,9.9,22.7
51,4499.08,10.5,24.1
54,4486.84,11.1,26.7
57,4498.65,11.5,27.7
60,4531.86,11.9,29.4
63,4489.52,12.1,31.9
66,4525.57,13.0,32.6
69,4561.04,13.7,33.0
72,4566.73,14.3,35.2
75,4543.85,14.7,37.4
78,4574.53,15.8,38.1
81,4561.87,15.5,41.5
84,4595.70,16.7,41.6
87,4578.68,18.0,42.2
90,4585.91,17.4,48.0
93,4570.03,17.8,49.3
96,4579.04,16.4,52.3
99,4605.81,18.1,51.8
102,4604.11,18.2,54.7
105,4601.67,18.5,55.0
108,4580.93,19.6,58.8
111,4583.10,20.7,58.2
114,4581.01,22.0,62.0
117,4586.40,23.0,63.9
120,4609.99,19.9,64.5
