Concurrency,QPS,P50,P99
1,545.08,1.9,2.2
2,1032.81,1.9,2.7
3,1467.64,2.0,2.8
4,1822.20,2.2,2.8
5,2014.57,2.5,3.5
6,2054.74,2.9,4.1
7,2020.91,3.6,4.7
8,2029.22,4.0,5.5
9,2008.41,4.5,6.6
10,2038.53,5.1,7.2
11,2050.18,5.6,7.8
12,2047.11,6.0,8.7
13,2059.98,6.4,9.6
14,2044.58,7.0,10.4
15,2035.08,7.6,11.2
16,2053.54,8.0,12.0
17,2033.55,8.5,12.8
18,2036.27,9.0,13.7
19,2042.86,9.5,14.4
20,2042.85,10.0,15.6
21,2051.55,10.4,16.1
22,2041.52,11.0,16.9
23,2036.05,11.6,17.6
24,2031.73,12.0,18.6
25,2025.78,12.6,19.6
26,2042.76,12.9,20.0
27,2034.64,13.5,20.9
28,2035.94,14.0,22.1
29,2032.39,14.5,22.9
30,2042.75,14.9,23.5
31,2045.85,15.3,24.4
32,2028.30,15.9,25.4
33,2043.52,16.3,26.2
34,2031.33,16.9,26.8
35,2049.19,17.3,27.4
36,2049.27,17.8,28.4
37,2041.56,18.2,29.6
38,2048.65,18.7,30.1
39,2054.41,19.2,31.0
40,2042.45,19.8,31.7
41,2054.38,20.2,32.0
42,2038.45,20.8,33.0
