P99
2.9
3.9
3.6
4.5
5.2
6.1
7.3
8.8
9.4
10.1
10.6
11.3
11.8
12.3
13.0
13.7
15.4
16.3
17.4
19.5
20.3
22.6
25.3
25.9
27.4
30.0
32.9
32.6
35.1
36.9
38.7
40.2
43.1
43.5
45.0
47.1
50.0
51.0
52.1
52.8
56.7
59.6
