P50
4.3
4.2
4.0
3.8
4.0
4.3
4.6
4.9
5.3
5.7
6.4
6.8
7.3
7.7
8.3
9.2
9.7
10.2
10.8
11.1
11.9
12.4
12.6
13.3
13.7
14.4
14.7
15.2
15.5
16.6
16.7
17.8
17.5
18.2
18.6
20.6
19.5
20.1
19.0
21.4
20.1
23.5
