P99
5.0
5.2
5.4
6.1
6.8
7.7
8.6
9.2
10.3
11.2
12.4
13.5
14.7
16.6
17.8
19.3
20.8
22.7
24.1
26.7
27.7
29.4
31.9
32.6
33.0
35.2
37.4
38.1
41.5
41.6
42.2
48.0
49.3
52.3
51.8
54.7
55.0
58.8
58.2
62.0
63.9
64.5
