QPS
443.93
875.92
1283.56
2410.60
3519.21
4472.24
4932.50
4955.04
4951.42
5067.24
5077.44
4995.79
4944.28
5000.10
5053.33
5024.68
4960.66
4752.21
4813.75
4891.42
4922.00
4861.95
4793.59
4817.96
4938.75
4911.90
4824.12
4714.86
4786.18
4946.40
4944.16
4878.28
4895.73
4968.19
4974.03
5008.55
4911.40
4935.50
4982.28
5039.64
4987.51
4919.38
