P50
2.3
2.8
2.4
2.5
2.8
3.0
3.6
4.2
4.6
5.2
5.6
6.1
6.6
6.9
7.5
8.0
8.7
9.2
9.6
9.8
10.2
10.5
10.0
10.9
11.0
10.3
10.9
11.7
10.3
10.4
10.4
11.2
10.8
10.5
11.6
11.1
11.9
13.3
11.3
12.3
11.0
11.1
