QPS
232.88
474.51
753.26
1536.26
2219.53
2718.82
3134.21
3504.61
3727.88
3972.99
4000.96
4170.95
4334.86
4425.22
4506.23
4470.74
4550.60
4682.26
4728.50
4772.84
4689.40
4765.85
4846.19
4869.56
4863.61
4754.29
4778.39
4851.80
4926.93
4925.15
4763.83
4863.52
4897.52
4938.47
4921.65
4830.15
4849.96
4852.78
4886.63
4942.80
4774.55
4827.60
