P99
5.2
5.8
5.4
5.6
6.5
7.6
8.6
9.6
10.9
11.8
13.0
13.9
14.5
15.6
16.5
17.5
18.7
18.9
19.9
21.7
23.9
23.8
25.7
26.1
27.2
29.7
32.4
33.8
33.0
33.2
38.8
36.0
39.7
38.0
42.0
44.4
47.8
45.9
52.7
51.4
56.9
56.5
