P50
2.3
2.3
2.3
2.5
2.6
2.7
3.0
3.5
4.0
4.4
4.9
5.3
5.8
6.2
6.0
6.9
6.3
7.2
7.0
6.9
7.2
8.8
6.6
6.7
6.1
7.0
8.5
8.7
8.0
8.5
12.6
8.4
7.5
7.0
8.6
15.0
11.7
7.4
14.7
10.1
12.8
11.0
