P99
4.7
5.0
5.1
5.4
5.7
6.2
7.0
8.2
9.5
11.2
13.4
14.9
16.4
17.8
20.2
22.5
23.6
25.0
28.1
30.0
31.3
33.0
35.1
37.2
38.2
41.8
42.5
47.4
44.3
50.2
45.1
53.5
52.2
53.9
59.7
60.4
57.7
62.5
62.8
65.9
69.5
67.7
