Concurrency,QPS,P50,P99
1,500.23,2.0,2.6
2,804.85,2.4,3.6
3,1255.98,2.4,3.5
4,1526.01,2.6,4.4
5,1622.40,2.9,6.3
6,1712.80,3.2,7.9
7,1698.64,3.9,8.1
8,1703.69,4.6,8.6
9,1758.45,5.0,9.1
10,1802.27,5.4,9.7
11,1800.87,5.9,10.3
12,1740.23,6.7,11.4
13,1745.96,7.2,11.9
14,1792.94,7.6,12.4
15,1798.75,8.1,12.9
16,1788.38,8.7,13.5
17,1744.27,9.6,14.3
18,1753.37,10.1,14.8
19,1799.82,10.4,15.0
20,1800.91,10.9,15.7
21,1816.66,11.4,16.0
22,1771.77,12.2,16.9
23,1791.20,12.7,17.3
24,1809.39,13.1,17.9
25,1809.07,13.6,18.4
26,1819.11,14.1,18.8
27,1764.29,15.1,20.0
28,1785.01,15.5,20.3
29,1815.15,15.8,20.7
30,1813.45,16.4,21.1
31,1806.09,17.0,21.8
32,1756.73,18.0,22.9
33,1801.25,18.2,22.8
34,1811.68,18.6,23.3
35,1812.51,19.2,23.9
36,1809.65,19.7,24.5
37,1754.81,20.9,25.8
38,1782.07,21.2,26.1
39,1809.64,21.4,26.3
40,1821.48,21.8,26.7
41,1814.75,22.4,27.3
42,1752.43,23.8,28.8
