P50
3.8
3.7
3.7
3.8
3.8
4.0
4.2
4.4
4.8
5.1
5.4
5.8
6.2
6.9
7.2
7.6
8.3
8.7
9.6
9.6
10.5
11.2
11.4
12.3
12.5
13.2
13.2
14.6
15.0
15.3
15.7
16.6
16.5
18.5
16.9
17.6
17.8
17.5
17.8
19.8
22.8
20.2
