QPS
437.04
876.31
1295.03
2408.54
3457.23
4404.45
4857.88
4908.46
4956.21
4925.54
4939.30
4943.57
4928.56
4941.28
4944.76
4934.30
4963.27
4923.15
4935.40
4946.62
4949.99
4919.33
4919.16
4921.48
4888.33
4934.32
4936.55
4907.77
4914.89
4876.66
4904.51
4900.50
4888.80
4871.43
4896.05
4905.07
4879.28
4890.58
4865.71
4844.67
4854.39
4819.34
